TGNR	code_count	codes	run_accession	sample_accession	experiment_accession	inferred_year	has_medianpeaks	csv_file_count
118504-18	0		ERR10176667	SAMEA111330929	ERX9713136	2018	True	4
118557-18	0		ERR10176668	SAMEA111330930	ERX9713137	2018	True	4
118653-18	0		ERR10176672	SAMEA111330934	ERX9713141	2018	True	4
118708-18	0		ERR10176673	SAMEA111330935	ERX9713142	2018	True	4
118828-18	0		ERR10176674	SAMEA111330936	ERX9713143	2018	True	7
119247-18	0		ERR10176678	SAMEA111330940	ERX9713147	2018	True	4
119812-18	0		ERR10176682	SAMEA111330944	ERX9713151	2018	True	4
120125-18	0		ERR10176683	SAMEA111330945	ERX9713152	2018	True	4
120507-18	0		ERR10176685	SAMEA111330947	ERX9713154	2018	True	4
120569-18	0		ERR10176686	SAMEA111330948	ERX9713155	2018	True	4
120706-1-18	0		ERR10176688	SAMEA111330950	ERX9713157	2018	False	4
120706-2-18	0		ERR10176689	SAMEA111330951	ERX9713158	2018	False	4
121362-18	0		ERR10176690	SAMEA111330952	ERX9713159	2018	True	4
121498-18	0		ERR10176691	SAMEA111330953	ERX9713160	2018	True	4
121582-18	0		ERR10176693	SAMEA111330955	ERX9713162	2018	True	4
121852-18	0		ERR10176694	SAMEA111330956	ERX9713163	2018	True	4
122060-18	0		ERR10176695	SAMEA111330957	ERX9713164	2018	True	4
122407-18	0		ERR10176696	SAMEA111330958	ERX9713165	2018	True	4
122551-18	0		ERR10176697	SAMEA111330959	ERX9713166	2018	True	4
122752-18	0		ERR10176700	SAMEA111330962	ERX9713169	2018	True	4
123429-18	0		ERR10176701	SAMEA111330963	ERX9713170	2018	True	4
123488-18	0		ERR10176702	SAMEA111330964	ERX9713171	2018	True	4
123536-18	0		ERR10176703	SAMEA111330965	ERX9713172	2018	True	4
123940-18	0		ERR10176705	SAMEA111330967	ERX9713174	2018	True	4
123955-18	0		ERR10176706	SAMEA111330968	ERX9713175	2018	True	3
123972-18	0		ERR10176707	SAMEA111330969	ERX9713176	2018	True	4
124121-18	0		ERR10176708	SAMEA111330970	ERX9713177	2018	True	4
124696-18	0		ERR10176710	SAMEA111330972	ERX9713179	2018	True	4
125052-18	0		ERR10176711	SAMEA111330973	ERX9713180	2018	True	4
125062-18	0		ERR10176712	SAMEA111330974	ERX9713181	2018	True	4
125172-18	0		ERR10176713	SAMEA111330975	ERX9713182	2018	True	7
125217-18	0		ERR10176714	SAMEA111330976	ERX9713183	2018	True	4
125338-18	0		ERR10176715	SAMEA111330977	ERX9713184	2018	True	4
125398-18	0		ERR10176716	SAMEA111330978	ERX9713185	2018	True	4
125418-18	0		ERR10176717	SAMEA111330979	ERX9713186	2018	True	4
125859-18	0		ERR10176719	SAMEA111330981	ERX9713188	2018	True	4
126622-18	0		ERR10176721	SAMEA111330983	ERX9713190	2018	True	4
126737-18	0		ERR10176723	SAMEA111330985	ERX9713192	2018	True	4
127052-18	0		ERR10176724	SAMEA111330986	ERX9713193	2018	True	4
127083-18	4	09015c6a-b078-40c3-995b-4a19d66e5b59;587e703c-c2ba-45fa-8d0f-9e142b03933c;98512dec-d611-4e5d-8406-76823d9eac4b;c836fa58-59c9-446c-a284-29321ddda696	ERR10176725	SAMEA111330987	ERX9713194	2018	True	8
127084-18	0		ERR10176726	SAMEA111330988	ERX9713195	2018	True	4
127354-18	4	29c387b2-4f70-4323-ae84-8a880b22ca07;485d1cec-1770-486b-9f8c-8ed35b4ea9d9;53125b5f-ec49-4741-bbcd-98564279ac8f;6af4af48-456e-4d9a-80d9-9d781499d4a8	ERR10176727	SAMEA111330989	ERX9713196	2018	True	8
127390-18	0		ERR10176728	SAMEA111330990	ERX9713197	2018	True	4
127487-18	4	634fedfa-c23f-4161-a8e8-c40f60688d7b;977623b7-8274-4e02-9ecc-c768dc9e33e6;9c6a1327-de7b-4ec8-afe4-5f612d87e57f;f10abf25-8318-4c53-b6d6-38ea54034593	ERR10176729	SAMEA111330991	ERX9713198	2018	True	8
128541-18	4	0236c894-3603-446f-9506-8ea17536a92f;04c4067f-41b0-40e7-973f-9a15cd6543be;22e02337-473d-4904-bb88-df7eacf8f348;27fc99dc-a467-4fcc-9d2d-16848d5eeb3e	ERR10176732	SAMEA111330994	ERX9713201	2018	True	8
128632-18	4	00c840a8-307e-4674-81a8-e5eec61f1a1a;0f2a869a-1a76-4422-a9f7-1b796d7f43ca;98a614a4-47c0-48b1-a51d-c3bdfa2a50af;d0a428d5-399e-44f4-83e1-59908e5cc5d5	ERR10176733	SAMEA111330995	ERX9713202	2018	True	8
129347-18	4	34018c93-4cd8-417b-a845-870265362a74;6ab8331c-7789-48a1-84f5-0593b7715630;c7f40c6f-473d-44ea-bb83-0cc496a21112;ce1b6f48-9a71-4f7a-8097-c0ffbf11b4f0	ERR10176736	SAMEA111330998	ERX9713205	2018	True	8
129950-18	4	2f012e12-f5b3-48af-b4aa-d515ad972a3e;8f1b618b-ba04-47f8-b753-63ea9d4aa8c5;c2267556-df42-44a8-969f-47b1006d267d;ce152f46-c5b0-4250-8922-5850f53b8e89	ERR10176738	SAMEA111331000	ERX9713207	2018	True	8
130059-18	4	2ba3fa3a-5673-47bc-b6da-848b92ff118c;39da9a20-6694-4283-9ff1-6a3f1ef20ead;67fc4290-22f6-4712-8d64-9599ed98b827;94170fba-fa0f-4253-8bcf-ffa5b44ae6d1	ERR10176739	SAMEA111331001	ERX9713208	2018	True	8
130260-18	4	1b760d16-e87a-48af-85a1-776315eb95df;48d842dc-5092-4641-84b5-94eaf8f4c848;4f78a3bd-8331-46ef-95fa-9fd40b4b791e;c11f680b-a784-4190-9fcf-5fdb79023fff	ERR10176742	SAMEA111331004	ERX9713211	2018	True	4
130292-18	4	52cceb72-69f0-47fb-9cab-261826aa254c;5b7ca80f-a818-44c9-9a40-f07d6a452013;94f7a8aa-1e29-4df4-8e99-5eeb147457ff;db9003c5-4030-4ce0-8654-d90d467a5492	ERR10176743	SAMEA111331005	ERX9713212	2018	True	4
130852-18	4	7f72da73-f1b4-4807-b2ed-ea1a15f8b703;809bf36a-31e7-42f9-92a0-ed25169e68f0;dd561844-4ae2-4410-8521-a13c082fbcba;f60aaca2-31d2-4062-bbe0-b21c5882a4db	ERR10176745	SAMEA111331007	ERX9713214	2018	True	8
130912-18	4	257f4abf-620b-4746-8070-21eec4e656a8;3ab9d352-fa23-4331-8d26-bc0e3f8e8db4;8f883d1d-68c6-4842-81ee-2e56330abd34;9a6f7088-14a2-416b-aa44-9c9ad32ae4c2	ERR10176756	SAMEA111331018	ERX9713225	2018	True	4
130949-18	4	3708bf82-c39d-44d0-bcae-d7796d47e4c7;6d10318a-66c5-4369-9943-6e1432293537;d18d4918-0124-41aa-bba8-05b36d5195f2;ffc9c646-6767-4d11-8b0a-4f4027363332	ERR10176757	SAMEA111331019	ERX9713226	2018	True	4
