archive_path	file_stem	resolved_isolate_id	resolution_method	matches_wgs
csv_median/104977_19_H6.csv	104977_19_H6	104977-19	numeric_tgnr	True
csv_median/721467_18_C10.csv	721467_18_C10	721467-18	numeric_tgnr	True
csv_median/720508_18_B7.csv	720508_18_B7	720508-18	numeric_tgnr	True
csv_median/122752_18_H5.csv	122752_18_H5	122752-18	numeric_tgnr	True
csv_median/105320_19_A1.csv	105320_19_A1	105320-19	numeric_tgnr	True
csv_median/Autocalibration_E3_1.csv	Autocalibration_E3_1	Autocalibration	unmapped_other	False
csv_median/116966_18_F4.csv	116966_18_F4	116966-18	numeric_tgnr	True
csv_median/3ab9d352_fa23_4331_8d26_bc0e3f8e8db4_B8.csv	3ab9d352_fa23_4331_8d26_bc0e3f8e8db4_B8	130912-18	uuid_mapped	True
csv_median/117670_18_D12.csv	117670_18_D12	117670-18	numeric_tgnr	True
csv_median/722035_18_C8.csv	722035_18_C8	722035-18	numeric_tgnr	True
csv_median/709204_18_C6.csv	709204_18_C6	709204-18	numeric_tgnr	True
csv_median/719833_18_A10.csv	719833_18_A10	719833-18	numeric_tgnr	True
csv_median/127052_18_A7.csv	127052_18_A7	127052-18	numeric_tgnr	True
csv_median/721299_18_G2.csv	721299_18_G2	721299-18	numeric_tgnr	True
csv_median/127487_18_A3.csv	127487_18_A3	127487-18	numeric_tgnr	True
csv_median/719964_18_E6.csv	719964_18_E6	719964-18	numeric_tgnr	True
csv_median/116966_18_F2.csv	116966_18_F2	116966-18	numeric_tgnr	True
csv_median/706907_18_H5.csv	706907_18_H5	706907-18	numeric_tgnr	True
csv_median/720824_18_F10.csv	720824_18_F10	720824-18	numeric_tgnr	True
csv_median/721911_18_H5.csv	721911_18_H5	721911-18	numeric_tgnr	True
csv_median/711327_18_D3.csv	711327_18_D3	711327-18	numeric_tgnr	True
csv_median/721536_18_D4.csv	721536_18_D4	721536-18	numeric_tgnr	True
csv_median/121582_18_D6.csv	121582_18_D6	121582-18	numeric_tgnr	True
csv_median/104005_19_G5.csv	104005_19_G5	104005-19	numeric_tgnr	True
csv_median/722066_18_B2.csv	722066_18_B2	722066-18	numeric_tgnr	True
csv_median/142486_18_D10.csv	142486_18_D10	142486-18	numeric_tgnr	True
csv_median/721596_18_G1.csv	721596_18_G1	721596-18	numeric_tgnr	True
csv_median/720857_18_F5.csv	720857_18_F5	720857-18	numeric_tgnr	True
csv_median/136401_18_C8.csv	136401_18_C8	136401-18	numeric_tgnr	True
csv_median/125172_18_C1.csv	125172_18_C1	125172-18	numeric_tgnr	True
csv_median/123536_18_F9.csv	123536_18_F9	123536-18	numeric_tgnr	True
csv_median/BTS_Validation_E1_17.csv	BTS_Validation_E1_17	BTS-Validation	unmapped_other	False
csv_median/713866_18_A9.csv	713866_18_A9	713866-18	numeric_tgnr	True
csv_median/722117_18_A7.csv	722117_18_A7	722117-18	numeric_tgnr	True
csv_median/e377ad35_c86a_4c3f_8e0e_7cf358a7dceb_E6.csv	e377ad35_c86a_4c3f_8e0e_7cf358a7dceb_E6	719964-18	uuid_mapped	True
csv_median/719876_18_F12.csv	719876_18_F12	719876-18	numeric_tgnr	True
csv_median/BTS_Validation_E1_22.csv	BTS_Validation_E1_22	BTS-Validation	unmapped_other	False
csv_median/120706_1_18_B9.csv	120706_1_18_B9	120706-1-18	numeric_tgnr	True
csv_median/717617_18_C12.csv	717617_18_C12	717617-18	numeric_tgnr	True
csv_median/132418_18_B1.csv	132418_18_B1	132418-18	numeric_tgnr	True
csv_median/712585_18_F6.csv	712585_18_F6	712585-18	numeric_tgnr	True
