threshold,site,organism,drug,raw_auc,raw_auc_ci_low,raw_auc_ci_high,raw_aupr,matched_auc,matched_auc_ci_low,matched_auc_ci_high,matched_aupr,stratum_centered_auc,stratum_centered_auc_ci_low,stratum_centered_auc_ci_high,pairwise_accuracy,pairwise_comparisons,permutation_p,permutation_null_mean,permutation_null_std,matched_retention,adequacy_label,interpretation_category,n_total,n_r,n_matched,n_matched_r,n_valid_strata,min_pos_per_stratum,min_neg_per_stratum,match_year
10,A-2018,Escherichia coli,Ceftriaxone,0.8632591009943299,nan,nan,0.6749766196297774,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,not_interpretable_no_valid_strata,insufficient_matched_overlap,1390,258,0,0,0,10,10,False
10,A-2018,Escherichia coli,Ciprofloxacin,0.822523887040838,nan,nan,0.6847206865458386,0.7612668392810237,nan,nan,0.4431609983103776,0.7429171826334947,nan,nan,0.7551974534964687,30159,nan,nan,nan,0.48962962962962964,interpretable,focal_signal_retained,1350,355,661,94,2,10,10,False
10,A-2018,Escherichia coli,Norfloxacin,0.7425875130616509,nan,nan,0.4930956022447849,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,not_interpretable_no_valid_strata,insufficient_matched_overlap,439,87,0,0,0,10,10,False
10,DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,0.6942682780902237,nan,nan,0.5112683651218538,0.5760157273918742,nan,nan,0.13655727402644907,0.5760157273918742,nan,nan,0.5760157273918742,1526,nan,nan,nan,0.6212121212121212,interpretable,partially_retained_or_uncertain,198,61,123,14,1,10,10,False
10,DRIAMS-B,Escherichia coli,Cefepime,0.7532147742818057,nan,nan,0.47026899415622664,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,not_interpretable_no_valid_strata,insufficient_matched_overlap,213,43,0,0,0,10,10,False
10,DRIAMS-B,Escherichia coli,Ceftazidime,0.734920634920635,nan,nan,0.49985026266410326,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,not_interpretable_no_valid_strata,insufficient_matched_overlap,213,45,0,0,0,10,10,False
10,DRIAMS-B,Escherichia coli,Ceftriaxone,0.7431216931216931,nan,nan,0.5102489041779358,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,not_interpretable_no_valid_strata,insufficient_matched_overlap,213,45,0,0,0,10,10,False
10,DRIAMS-B,Escherichia coli,Ciprofloxacin,0.7737348858038513,nan,nan,0.6329391546494088,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,not_interpretable_no_valid_strata,insufficient_matched_overlap,212,58,0,0,0,10,10,False
10,DRIAMS-B,Escherichia coli,Norfloxacin,0.7026415870079145,nan,nan,0.6131207854268762,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,0.0,not_interpretable_no_valid_strata,insufficient_matched_overlap,210,69,0,0,0,10,10,False
10,DRIAMS-C,Escherichia coli,Amoxicillin-Clavulanic acid,0.5354425465838509,nan,nan,0.2918665769707062,0.5205126105470029,nan,nan,0.20281076811079016,0.47486079266295445,nan,nan,0.4809856503367778,23903,nan,nan,nan,0.7727272727272727,interpretable,weak_raw_signal,902,230,697,129,5,10,10,False
