organism,drug_a,drug_b,n_both_known,n_rr,prevalence_a,prevalence_b,rr_observed,rr_expected_independent,rr_lift,phi
Klebsiella pneumoniae,Levofloxacin,Ceftazidime,14351,3564,0.29956100620165843,0.3003971848651662,0.24834506306180754,0.08998728295835479,2.7597795477027476,0.7541155630187277
Klebsiella pneumoniae,Levofloxacin,Cefepime,14442,3511,0.2971887550200803,0.2914416285832987,0.2431103725245811,0.08661317475969518,2.8068521122690764,0.7535419229532355
Staphylococcus aureus,Erythromycin,Clindamycin,1817,539,0.4215740231150248,0.3065492570170611,0.2966428178315905,0.12923320356360418,2.295407137265564,0.7352950416346277
Klebsiella pneumoniae,Cefepime,Trimethoprim/Sulfamethoxazole,16779,3633,0.26974193932892304,0.27796650575123666,0.2165206508135169,0.07497922432982282,2.887741941168579,0.7118627116989648
Klebsiella pneumoniae,Cefotaxime,Trimethoprim/Sulfamethoxazole,16796,3685,0.27685163134079543,0.27786377708978327,0.21939747558942604,0.07692703997782163,2.8520202474016836,0.7108238167982845
Klebsiella pneumoniae,Ceftazidime,Trimethoprim/Sulfamethoxazole,16663,3679,0.27870131428914363,0.2795414991298086,0.22078857348616696,0.07790858320583516,2.8339441483981505,0.7100954064173594
Klebsiella pneumoniae,Norfloxacin,Cefotaxime,11918,2599,0.3318509817083403,0.23191810706494378,0.21807350226548078,0.07696225150544157,2.833512507752739,0.7100392037694527
Klebsiella pneumoniae,Norfloxacin,Ceftazidime,11865,2595,0.33341761483354404,0.23244837758112094,0.21871049304677623,0.0775023836250244,2.8219840838051047,0.7091227117117872
Klebsiella pneumoniae,Norfloxacin,Cefepime,11914,2542,0.33271781097868053,0.22654020480107437,0.2133624307537351,0.07537396104007543,2.830718033251468,0.6996139984291945
Klebsiella pneumoniae,Ciprofloxacin,Trimethoprim/Sulfamethoxazole,16315,3429,0.2811523138216365,0.2669935642047196,0.21017468587189703,0.07506585835164259,2.7998705468382616,0.6793446572606197
Klebsiella pneumoniae,Amoxicillin/Clavulanic acid,Ceftazidime,16612,3684,0.31453166385745246,0.2776908259089815,0.22176739706236456,0.0873425575111021,2.5390531647092622,0.6464148278191315
Klebsiella pneumoniae,Levofloxacin,Trimethoprim/Sulfamethoxazole,14481,3197,0.29694081900421243,0.2971479870174712,0.22077204612941095,0.08823536663042097,2.502081133227764,0.6347268207551974
Klebsiella pneumoniae,Amoxicillin/Clavulanic acid,Cefotaxime,16737,3687,0.31959132461014517,0.2759753838800263,0.22029037461910736,0.0881993384940109,2.4976420274860223,0.633693271253717
Klebsiella pneumoniae,Ciprofloxacin,Amoxicillin/Clavulanic acid,16253,3607,0.2801944256444964,0.3217867470620808,0.22192825939826494,0.09016285277307058,2.4614156781045136,0.6280537969773555
Klebsiella pneumoniae,Norfloxacin,Trimethoprim/Sulfamethoxazole,11944,2448,0.3330542531815137,0.237357669122572,0.20495646349631613,0.07905298122652306,2.592646859313526,0.6278745912648129
Escherichia coli,Ciprofloxacin,Cefotaxime,1756,514,0.45842824601366744,0.3234624145785877,0.29271070615034167,0.1482843073666077,1.973983028606421,0.6196194169294905
